instance,k,fileTime,cleanTime,totalTime
./instances/synthetic/synth-n_40-m_95-k_6-p_0.1.txt,4,0.0,5.0E-4,0.0167
./instances/synthetic/synth-n_90-m_214-k_8-p_0.05.txt,7,0.0375,0.0016,0.0733
./instances/complex/biology-n_13-m_51-p_0.5-22,4,0.002,2.0E-4,0.0227
./instances/complex/ucsocial-n_100,14,0.0,4.0E-4,0.0017
./instances/complex/bitcoinalpha-n_400,28,0.0,3.0E-4,0.0017
./instances/complex/advotogo-n_200,5,0.0,2.0E-4,7.0E-4
./instances/complex/talk-oc-n_100,1,0.0,1.0E-4,4.0E-4
./instances/complex/advotogo-n_500,36,0.0,0.0024,0.0071
./instances/complex/blogs-n_300,36,0.0,0.0033,0.0086
./instances/synthetic/synth-n_160-m_683-k_8-p_0.05.txt,6,0.0053,0.0021,0.0422
./instances/synthetic/synth-n_60-m_226-k_15-p_0.1.txt,10,0.006,7.0E-4,0.075
./instances/complex/blogs-n_400,53,0.0033,0.0017,0.0484
./instances/synthetic/synth-n_140-m_1056-k_8-p_0.1.txt,8,0.0145,0.0011,0.1527
./instances/synthetic/synth-n_250-m_3161-k_2-p_0.1.txt,2,0.0,0.0031,0.019
./instances/synthetic/synth-n_200-m_2076-k_6-p_0.1.txt,6,0.0,0.0029,0.019
./instances/synthetic/synth-n_100-m_596-k_15-p_0.1.txt,15,0.0065,4.0E-4,0.2025
./instances/synthetic/synth-n_160-m_746-k_15-p_0.05.txt,14,0.0036,7.0E-4,0.1379
./instances/synthetic/synth-n_300-m_4553-k_2-p_0.1.txt,2,0.0,0.0024,0.0075
./instances/complex/link-kv-n_500,98,0.0054,5.0E-4,0.1366
./instances/synthetic/synth-n_300-m_9125-k_6-p_0.2.txt,6,0.0334,0.0011,1.6615
./instances/complex/biology-n_12-m_45-p_0.9-19,1,0.0,2.0E-4,0.0011
./instances/complex/moreno_cattle-n_28-m_217,8,7.0E-4,1.0E-4,0.0073
./instances/synthetic/synth-n_120-m_368-k_2-p_0.05.txt,2,0.0,2.0E-4,8.0E-4
./instances/synthetic/synth-n_70-m_560-k_10-p_0.2.txt,10,0.0015,1.0E-4,0.0945
./instances/synthetic/synth-n_30-m_28-k_4-p_0.05.txt,2,0.0,0.0,4.0E-4
./instances/synthetic/synth-n_10-m_12-k_4-p_0.2.txt,1,0.0,0.0,2.0E-4
./instances/complex/baydry,7,0.0,4.0E-4,0.0018
