instance,k,fileTime,cleanTime,digraphTime,totalTime
./instances/synthetic/synth-n_40-m_95-k_6-p_0.1.txt,4,0.0,8.0E-4,0.0016,0.0234
./instances/synthetic/synth-n_90-m_214-k_8-p_0.05.txt,7,0.0337,9.0E-4,0.0012,0.0691
./instances/complex/biology-n_13-m_51-p_0.5-22,4,0.0018,2.0E-4,3.0E-4,0.0155
./instances/complex/ucsocial-n_100,14,0.0,3.0E-4,0.0,0.0012
./instances/complex/bitcoinalpha-n_400,28,0.0,4.0E-4,0.0,0.0014
./instances/complex/advotogo-n_200,5,0.0,3.0E-4,0.0,0.0012
./instances/complex/talk-oc-n_100,1,0.0,1.0E-4,0.0,7.0E-4
./instances/complex/advotogo-n_500,36,0.0,0.0026,0.0,0.0061
./instances/complex/blogs-n_300,36,0.0,0.0017,0.0,0.0065
./instances/synthetic/synth-n_160-m_683-k_8-p_0.05.txt,6,0.0044,0.0023,0.0015,0.0395
./instances/synthetic/synth-n_60-m_226-k_15-p_0.1.txt,10,0.0037,7.0E-4,0.0022,0.0446
./instances/complex/blogs-n_400,53,0.0026,0.0019,5.0E-4,0.0313
./instances/synthetic/synth-n_140-m_1056-k_8-p_0.1.txt,8,0.0072,0.0011,0.0017,0.0613
./instances/synthetic/synth-n_250-m_3161-k_2-p_0.1.txt,2,0.0,0.0027,0.0,0.0083
./instances/synthetic/synth-n_200-m_2076-k_6-p_0.1.txt,6,0.0,0.0026,0.0,0.0078
./instances/synthetic/synth-n_100-m_596-k_15-p_0.1.txt,15,0.0064,4.0E-4,0.0017,0.1966
./instances/synthetic/synth-n_160-m_746-k_15-p_0.05.txt,14,0.0059,0.0011,0.0014,0.1029
./instances/synthetic/synth-n_300-m_4553-k_2-p_0.1.txt,2,0.0,0.0021,0.0,0.0116
./instances/complex/link-kv-n_500,98,0.0012,3.0E-4,0.0019,0.0085
./instances/synthetic/synth-n_300-m_9125-k_6-p_0.2.txt,6,0.0204,0.001,0.0117,0.8993
./instances/complex/biology-n_12-m_45-p_0.9-19,1,0.0,1.0E-4,0.0,6.0E-4
./instances/complex/moreno_cattle-n_28-m_217,8,8.0E-4,1.0E-4,1.0E-4,0.0072
./instances/synthetic/synth-n_120-m_368-k_2-p_0.05.txt,2,0.0,2.0E-4,0.0,0.0011
./instances/synthetic/synth-n_70-m_560-k_10-p_0.2.txt,10,0.0024,1.0E-4,4.0E-4,0.0966
./instances/synthetic/synth-n_30-m_28-k_4-p_0.05.txt,2,0.0,1.0E-4,0.0,6.0E-4
./instances/synthetic/synth-n_10-m_12-k_4-p_0.2.txt,1,0.0,0.0,0.0,4.0E-4
./instances/complex/baydry,7,0.0,7.0E-4,0.0,0.0034
