instance,k,fileTime,totalTime
./instances/synthetic/synth-n_40-m_95-k_6-p_0.1.txt,4,0.0611,0.1322
./instances/synthetic/synth-n_90-m_214-k_8-p_0.05.txt,7,0.0034,0.0984
./instances/complex/biology-n_13-m_51-p_0.5-22,4,0.0017,0.0246
./instances/complex/ucsocial-n_100,14,0.0015,0.0169
./instances/complex/bitcoinalpha-n_400,28,0.0023,0.0156
./instances/complex/advotogo-n_200,5,0.0012,0.0061
./instances/complex/talk-oc-n_100,1,8.0E-4,0.0048
./instances/complex/advotogo-n_500,36,0.0057,0.0569
./instances/complex/blogs-n_300,36,0.0089,0.1468
./instances/synthetic/synth-n_160-m_683-k_8-p_0.05.txt,6,0.0024,0.291
./instances/synthetic/synth-n_60-m_226-k_15-p_0.1.txt,10,0.0017,0.2517
./instances/complex/blogs-n_400,53,0.006,0.7551
./instances/synthetic/synth-n_140-m_1056-k_8-p_0.1.txt,8,0.0052,0.3603
./instances/synthetic/synth-n_250-m_3161-k_2-p_0.1.txt,2,0.0141,0.2273
./instances/synthetic/synth-n_200-m_2076-k_6-p_0.1.txt,6,0.0084,1.4795
./instances/synthetic/synth-n_100-m_596-k_15-p_0.1.txt,15,0.0015,0.2599
./instances/synthetic/synth-n_160-m_746-k_15-p_0.05.txt,14,0.002,1.0595
./instances/synthetic/synth-n_300-m_4553-k_2-p_0.1.txt,2,0.0154,0.2407
./instances/complex/link-kv-n_500,98,0.0033,0.1481
./instances/synthetic/synth-n_300-m_9125-k_6-p_0.2.txt,6,0.011,1.5646
./instances/complex/biology-n_12-m_45-p_0.9-19,1,8.0E-4,0.0091
./instances/complex/moreno_cattle-n_28-m_217,8,0.001,0.0335
./instances/synthetic/synth-n_120-m_368-k_2-p_0.05.txt,2,0.0111,0.0334
./instances/synthetic/synth-n_70-m_560-k_10-p_0.2.txt,10,0.0013,0.136
./instances/synthetic/synth-n_30-m_28-k_4-p_0.05.txt,2,0.001,0.005
./instances/synthetic/synth-n_10-m_12-k_4-p_0.2.txt,1,9.0E-4,0.0039
./instances/complex/baydry,7,0.0038,0.1215
./instances/complex/GD-n_80-m_232.mtx,20,0.0013,0.0652
./instances/synthetic/synth-n_80-m_343-k_10-p_0.1.txt,9,0.0017,0.3
./instances/synthetic/synth-n_100-m_1119-k_8-p_0.2.txt,8,0.0024,0.1514
./instances/synthetic/synth-n_100-m_1028-k_4-p_0.2.txt,4,0.0018,0.4176
./instances/synthetic/synth-n_225-m_1385-k_8-p_0.05.txt,8,0.0026,0.5338
./instances/synthetic/synth-n_225-m_2732-k_4-p_0.1.txt,4,0.0039,0.8515
./instances/synthetic/synth-n_120-m_1738-k_15-p_0.2.txt,15,0.0041,0.4525
./instances/synthetic/synth-n_160-m_2776-k_8-p_0.2.txt,8,0.0037,0.5713
./instances/synthetic/synth-n_200-m_4765-k_30-p_0.2.txt,30,0.0069,2.5272
./instances/synthetic/synth-n_60-m_126-k_8-p_0.05.txt,4,0.0011,0.027
./instances/synthetic/synth-n_50-m_70-k_4-p_0.05.txt,0,0.0012,0.0055
./instances/synthetic/synth-n_120-m_395-k_8-p_0.05.txt,7,0.0017,0.1174
./instances/complex/health-n_700,126,0.0029,0.1026
./instances/synthetic/synth-n_60-m_211-k_10-p_0.1.txt,7,0.0013,0.1801
./instances/synthetic/synth-n_140-m_2487-k_30-p_0.2.txt,30,0.0056,1.5916
./instances/complex/moreno_mac-n_62-m_1187,14,0.003,0.3052
./instances/complex/usairport-n_300,48,0.0022,0.2233
./instances/synthetic/synth-n_275-m_1958-k_4-p_0.05.txt,4,0.004,0.2729
./instances/synthetic/synth-n_120-m_1485-k_6-p_0.2.txt,6,0.0031,0.2839
./instances/synthetic/synth-n_275-m_2130-k_20-p_0.05.txt,20,0.0041,7.9164
./instances/synthetic/synth-n_275-m_4276-k_20-p_0.1.txt,20,0.0076,1.2241
./instances/synthetic/synth-n_275-m_7787-k_6-p_0.2.txt,6,0.0112,1.4746
./instances/synthetic/synth-n_225-m_5734-k_20-p_0.2.txt,20,0.0082,2.7995
./instances/complex/biology-n_30-m_287-p_0.5-5,15,0.0015,0.4123
./instances/complex/biology-n_12-m_43-p_0.9-25,1,8.0E-4,0.0082
./instances/complex/ChicagoRegional-n_100,0,0.0,3.0E-4
./instances/synthetic/synth-n_30-m_99-k_4-p_0.2.txt,3,9.0E-4,0.0114
./instances/synthetic/synth-n_160-m_1318-k_4-p_0.1.txt,4,0.0027,0.0918
./instances/synthetic/synth-n_80-m_667-k_2-p_0.2.txt,2,0.0017,0.0325
./instances/synthetic/synth-n_90-m_450-k_2-p_0.1.txt,2,0.0015,0.0239
./instances/complex/health-n_800,164,0.0027,0.2722
./instances/synthetic/synth-n_90-m_863-k_2-p_0.2.txt,2,0.0019,0.0405
./instances/synthetic/synth-n_250-m_1569-k_4-p_0.05.txt,4,0.0029,0.9778
./instances/synthetic/synth-n_300-m_2234-k_4-p_0.05.txt,4,0.0041,1.9233
./instances/synthetic/synth-n_140-m_2195-k_10-p_0.2.txt,10,0.0029,0.3379
./instances/synthetic/synth-n_300-m_2382-k_6-p_0.05.txt,6,0.0028,4.1529
./instances/synthetic/synth-n_140-m_2299-k_20-p_0.2.txt,20,0.0027,1.1261
./instances/synthetic/synth-n_300-m_2418-k_10-p_0.05.txt,10,0.0039,2.5519
./instances/synthetic/synth-n_275-m_3928-k_10-p_0.1.txt,10,0.0072,3.456
./instances/synthetic/synth-n_160-m_3006-k_20-p_0.2.txt,20,0.0036,1.1455
./instances/synthetic/synth-n_100-m_305-k_4-p_0.05.txt,3,0.0012,0.1134
./instances/synthetic/synth-n_70-m_157-k_6-p_0.05.txt,4,0.0011,0.02
./instances/synthetic/synth-n_20-m_54-k_8-p_0.2.txt,3,9.0E-4,0.0087
./instances/synthetic/synth-n_160-m_663-k_4-p_0.05.txt,4,0.0131,0.1496
./instances/synthetic/synth-n_90-m_248-k_10-p_0.05.txt,7,0.0019,0.2049
./instances/synthetic/synth-n_60-m_380-k_2-p_0.2.txt,2,0.0016,0.0403
./instances/complex/baywet,7,0.0045,0.1688
./instances/synthetic/synth-n_200-m_2088-k_4-p_0.1.txt,4,0.0035,0.496
./instances/complex/openflights-n_1000,228,0.0051,0.3389
./instances/synthetic/synth-n_100-m_1220-k_15-p_0.2.txt,15,0.0021,1.3311
./instances/synthetic/synth-n_70-m_626-k_15-p_0.2.txt,15,0.0026,0.2212
./instances/synthetic/synth-n_275-m_3851-k_4-p_0.1.txt,4,0.004,1.1062
./instances/synthetic/synth-n_225-m_2691-k_8-p_0.1.txt,8,0.0028,0.3876
./instances/synthetic/synth-n_160-m_2720-k_10-p_0.2.txt,10,0.0027,0.4844
./instances/synthetic/synth-n_250-m_6833-k_15-p_0.2.txt,15,0.0052,3.0165
./instances/synthetic/synth-n_40-m_50-k_4-p_0.05.txt,1,0.001,0.0057
./instances/complex/GD-n_38-m_50.mtx,2,9.0E-4,0.0071
./instances/synthetic/synth-n_20-m_38-k_6-p_0.1.txt,2,9.0E-4,0.0095
./instances/synthetic/synth-n_70-m_494-k_2-p_0.2.txt,2,0.0011,0.0273
./instances/synthetic/synth-n_100-m_491-k_2-p_0.1.txt,2,0.0012,0.0266
./instances/synthetic/synth-n_100-m_319-k_15-p_0.05.txt,9,0.001,0.2522
./instances/complex/bitcoinalpha-n_700,86,0.0016,0.0504
./instances/complex/ucsocial-n_500,105,0.0019,0.1522
./instances/synthetic/synth-n_60-m_386-k_4-p_0.2.txt,4,0.0016,0.0376
./instances/complex/biology-n_42-m_297-p_0.9-23,13,0.0014,0.1782
./instances/synthetic/synth-n_250-m_3475-k_20-p_0.1.txt,20,0.005,3.4702
./instances/complex/health-n_100,2,7.0E-4,0.004
./instances/synthetic/synth-n_40-m_114-k_15-p_0.1.txt,6,7.0E-4,0.0213
./instances/complex/GD-n_180-m_229.mtx,2,0.001,0.0084
./instances/synthetic/synth-n_120-m_420-k_10-p_0.05.txt,7,0.0013,0.0525
./instances/synthetic/synth-n_80-m_753-k_10-p_0.2.txt,10,0.0012,0.0801
./instances/synthetic/synth-n_200-m_2119-k_8-p_0.1.txt,8,0.0025,2.0539
./instances/complex/usairport-n_400,84,0.0023,0.5246
./instances/synthetic/synth-n_225-m_2685-k_6-p_0.1.txt,6,0.0027,2.0141
./instances/synthetic/synth-n_300-m_2479-k_15-p_0.05.txt,15,0.0026,2.2747
./instances/synthetic/synth-n_250-m_6353-k_4-p_0.2.txt,4,0.0047,4.0196
./instances/synthetic/synth-n_250-m_6538-k_8-p_0.2.txt,8,0.0049,3.197
./instances/complex/openflights-n_100,8,7.0E-4,0.0067
./instances/synthetic/synth-n_40-m_62-k_10-p_0.05.txt,3,8.0E-4,0.0066
./instances/synthetic/synth-n_70-m_156-k_2-p_0.05.txt,0,8.0E-4,0.0048
./instances/complex/biology-n_25-m_231-p_0.9-6,8,9.0E-4,0.0854
./instances/synthetic/synth-n_140-m_1028-k_2-p_0.1.txt,2,0.0016,0.0939
./instances/complex/wikispeedia-n_400,39,0.0015,0.1337
./instances/synthetic/synth-n_120-m_432-k_20-p_0.05.txt,15,0.0015,1.443
./instances/synthetic/synth-n_275-m_2025-k_6-p_0.05.txt,6,0.0023,1.4738
./instances/synthetic/synth-n_200-m_2270-k_20-p_0.1.txt,20,0.0027,0.8083
./instances/synthetic/synth-n_300-m_4844-k_10-p_0.1.txt,10,0.0064,3.4829
./instances/synthetic/synth-n_250-m_3612-k_25-p_0.1.txt,25,0.0037,1.6388
./instances/synthetic/synth-n_90-m_527-k_20-p_0.1.txt,19,0.0014,0.8094
./instances/synthetic/synth-n_30-m_58-k_6-p_0.1.txt,2,7.0E-4,0.014
./instances/complex/biology-n_12-m_33-p_0.5-15,3,8.0E-4,0.0075
./instances/synthetic/synth-n_90-m_470-k_8-p_0.1.txt,8,0.0015,0.2806
./instances/synthetic/synth-n_90-m_870-k_4-p_0.2.txt,4,0.0017,0.2261
./instances/synthetic/synth-n_80-m_818-k_15-p_0.2.txt,15,0.0014,0.3233
./instances/synthetic/synth-n_250-m_1694-k_10-p_0.05.txt,10,0.003,1.933
./instances/synthetic/synth-n_180-m_1738-k_10-p_0.1.txt,10,0.0022,0.1654
./instances/synthetic/synth-n_160-m_3034-k_25-p_0.2.txt,25,0.0031,1.058
./instances/synthetic/synth-n_300-m_5040-k_20-p_0.1.txt,20,0.0047,1.1506
./instances/synthetic/synth-n_225-m_5854-k_25-p_0.2.txt,25,0.0046,3.4703
./instances/complex/biology-n_9-m_23-p_0.5-1,2,8.0E-4,0.008
./instances/complex/temporalGraph-n_400,12,0.0018,0.0211
./instances/complex/biology-n_13-m_39-p_0.75-4,3,7.0E-4,0.0089
./instances/synthetic/synth-n_80-m_690-k_6-p_0.2.txt,6,0.0012,0.0718
./instances/complex/chess-n_500,16,0.0011,0.031
