instance;recursions;rootTime;cleaningTime;packingTime;flowerTime;digraphTime;busyCycleBranchingTime;cycleSearchTime;tarjanTime;totalTime;firstLowerbound;firstDigraphNodes;firstCleans;tarjanString
../instances/synthetic/synth-n_40-m_95-k_6-p_0.1.txt;0;11985873;0;0;0;0;0;0;0;11989242;0;1;3;null
../instances/synthetic/synth-n_90-m_214-k_8-p_0.05.txt;5;23862911;1982649;177970;0;203753;1559147;5672;0;28279365;2;0;4;null
../instances/complex/biology-n_13-m_51-p_0.5-22;2;11016296;1564038;343821;0;633795;0;6475;0;14049413;3;0;0;null
../instances/complex/ucsocial-n_100;0;15454279;0;0;0;0;0;0;0;15455921;0;9;5;null
../instances/complex/bitcoinalpha-n_400;0;25005262;0;0;0;0;0;0;0;25008414;0;20;8;null
../instances/complex/advotogo-n_200;0;11010012;0;0;0;0;0;0;0;11012402;0;5;0;null
../instances/complex/talk-oc-n_100;0;9938239;0;0;0;0;0;0;0;9942034;0;1;0;null
../instances/complex/advotogo-n_500;0;60846357;0;0;0;0;0;0;0;60849029;0;21;15;null
../instances/complex/blogs-n_300;0;96452804;0;0;0;0;0;0;0;96457027;0;7;29;null
../instances/synthetic/synth-n_160-m_683-k_8-p_0.05.txt;2;114250661;11555283;920696;0;1912234;0;14344;0;142793371;4;0;1;null
../instances/synthetic/synth-n_60-m_226-k_15-p_0.1.txt;254;33440921;53685369;9514555;31415599;7111162;30366239;1442;0;208864488;5;0;1;null
../instances/complex/blogs-n_400;22;158925584;10219766;500539;0;744910;1068547;3666;0;173430222;8;14;29;null
../instances/synthetic/synth-n_140-m_1056-k_8-p_0.1.txt;1;203627400;20547897;1587427;0;6056264;0;13553;0;232908035;4;0;4;null
../instances/synthetic/synth-n_250-m_3161-k_2-p_0.1.txt;0;288829201;0;0;0;0;0;0;0;288832048;0;0;2;null
../instances/synthetic/synth-n_200-m_2076-k_6-p_0.1.txt;0;262275636;0;0;0;0;0;0;0;262278016;0;0;6;null
../instances/synthetic/synth-n_100-m_596-k_15-p_0.1.txt;313;102393099;190640397;43144902;5828696;6530300;58230373;879;0;449489442;12;0;0;null
../instances/synthetic/synth-n_160-m_746-k_15-p_0.05.txt;214;103669231;154748042;48830536;3259242;5277492;36417294;2746;0;412474746;5;0;2;null
../instances/synthetic/synth-n_300-m_4553-k_2-p_0.1.txt;0;376882516;0;0;0;0;0;0;0;376884628;0;0;2;null
../instances/complex/link-kv-n_500;539;206992881;276371763;15953243;941185;8145493;11719048;1336;0;554010186;21;52;6;null
../instances/synthetic/synth-n_300-m_9125-k_6-p_0.2.txt;1;884327913;63443718;10225232;0;8768792;0;9294;0;970851318;6;0;0;null
../instances/complex/biology-n_12-m_45-p_0.9-19;0;6740694;0;0;0;0;0;0;0;6745088;0;0;1;null
../instances/complex/moreno_cattle-n_28-m_217;2;35126247;82475;174601;0;246592;607724;7161;0;36586267;2;0;6;null
