instance,k,fileTime,cleanTime,digraphTime,totalTime
./instances/synthetic/synth-n_30-m_28-k_6-p_0.05.txt,1,0.0,4.0E-4,0.0013,0.0198
./instances/synthetic/synth-n_40-m_92-k_2-p_0.1.txt,2,0.0,6.0E-4,0.0,0.0117
./instances/synthetic/synth-n_160-m_1318-k_4-p_0.1.txt,4,0.0,0.0031,0.0,0.0083
./instances/synthetic/synth-n_200-m_4591-k_20-p_0.2.txt,20,0.2718,0.0011,0.0178,0.4428
./instances/synthetic/synth-n_225-m_5365-k_10-p_0.2.txt,10,0.0919,6.0E-4,0.0055,0.2611
./instances/synthetic/synth-n_40-m_95-k_6-p_0.1.txt,4,0.0,2.0E-4,0.0,0.0117
./instances/synthetic/synth-n_140-m_1056-k_8-p_0.1.txt,8,0.0063,0.0014,0.0023,0.0342
./instances/synthetic/synth-n_250-m_1512-k_2-p_0.05.txt,2,0.0,0.0011,0.0,0.0058
./instances/synthetic/synth-n_140-m_531-k_8-p_0.05.txt,7,0.0,5.0E-4,0.0,0.0028
./instances/synthetic/synth-n_60-m_124-k_25-p_0.05.txt,6,0.0018,2.0E-4,2.0E-4,0.0148
./instances/synthetic/synth-n_50-m_195-k_15-p_0.1.txt,8,0.0028,2.0E-4,3.0E-4,0.0143
./instances/synthetic/synth-n_80-m_837-k_30-p_0.2.txt,30,0.0121,1.0E-4,0.001,18.128
./instances/synthetic/synth-n_40-m_50-k_4-p_0.05.txt,1,0.0,1.0E-4,0.0,0.001
./instances/synthetic/synth-n_200-m_4165-k_4-p_0.2.txt,4,0.0093,5.0E-4,0.0021,0.0767
./instances/synthetic/synth-n_180-m_3302-k_4-p_0.2.txt,4,0.0,0.001,0.0,0.0045
./instances/synthetic/synth-n_200-m_4241-k_6-p_0.2.txt,6,0.0258,3.0E-4,0.0026,0.1131
./instances/synthetic/synth-n_100-m_282-k_2-p_0.05.txt,2,0.0,1.0E-4,0.0,0.0014
./instances/synthetic/synth-n_50-m_71-k_8-p_0.05.txt,2,0.0,1.0E-4,0.0,5.0E-4
./instances/synthetic/synth-n_160-m_683-k_8-p_0.05.txt,6,0.0014,3.0E-4,2.0E-4,0.0106
./instances/synthetic/synth-n_250-m_1575-k_6-p_0.05.txt,6,0.0,6.0E-4,0.0,0.0027
./instances/synthetic/synth-n_200-m_1151-k_25-p_0.05.txt,25,0.0072,4.0E-4,8.0E-4,1.0399
./instances/synthetic/synth-n_20-m_38-k_6-p_0.1.txt,2,0.0,1.0E-4,0.0,7.0E-4
./instances/synthetic/synth-n_160-m_1595-k_25-p_0.1.txt,25,0.0132,1.0E-4,0.001,0.0617
./instances/synthetic/synth-n_90-m_555-k_30-p_0.1.txt,23,0.0038,1.0E-4,4.0E-4,0.8773
./instances/synthetic/synth-n_275-m_7697-k_4-p_0.2.txt,4,0.0374,0.0013,0.0074,0.1793
./instances/synthetic/synth-n_120-m_1485-k_6-p_0.2.txt,6,0.0055,2.0E-4,8.0E-4,0.0301
./instances/synthetic/synth-n_180-m_881-k_4-p_0.05.txt,4,0.0,2.0E-4,0.0,0.0023
./instances/synthetic/synth-n_160-m_743-k_20-p_0.05.txt,19,0.004,2.0E-4,5.0E-4,0.0928
./instances/synthetic/synth-n_225-m_2884-k_25-p_0.1.txt,25,0.0328,2.0E-4,0.0031,0.0912
./instances/synthetic/synth-n_300-m_4664-k_6-p_0.1.txt,6,0.0,0.001,0.0,0.0056
./instances/synthetic/synth-n_275-m_4227-k_15-p_0.1.txt,15,0.03,4.0E-4,0.0021,0.1028
./instances/synthetic/synth-n_80-m_700-k_8-p_0.2.txt,8,0.0037,1.0E-4,4.0E-4,0.018
./instances/synthetic/synth-n_60-m_380-k_2-p_0.2.txt,2,0.0,1.0E-4,0.0,0.0011
./instances/synthetic/synth-n_225-m_1470-k_20-p_0.05.txt,19,0.0103,3.0E-4,0.001,0.0741
./instances/synthetic/synth-n_120-m_921-k_25-p_0.1.txt,25,0.0075,1.0E-4,6.0E-4,0.2886
./instances/synthetic/synth-n_30-m_60-k_2-p_0.1.txt,1,0.0,1.0E-4,0.0,5.0E-4
./instances/synthetic/synth-n_80-m_818-k_15-p_0.2.txt,15,0.0039,0.0,4.0E-4,0.052
./instances/synthetic/synth-n_300-m_2429-k_8-p_0.05.txt,8,0.0072,5.0E-4,0.001,0.0344
./instances/synthetic/synth-n_300-m_4553-k_2-p_0.1.txt,2,0.0,9.0E-4,0.0,0.0043
./instances/synthetic/synth-n_120-m_1600-k_8-p_0.2.txt,8,0.006,1.0E-4,7.0E-4,0.0336
./instances/synthetic/synth-n_200-m_2088-k_4-p_0.1.txt,4,0.0,5.0E-4,0.0,0.0028
./instances/synthetic/synth-n_50-m_275-k_2-p_0.2.txt,2,0.0,1.0E-4,0.0,0.0014
./instances/synthetic/synth-n_225-m_5936-k_30-p_0.2.txt,30,0.1012,0.0,0.0025,0.2056
./instances/synthetic/synth-n_180-m_1738-k_10-p_0.1.txt,10,0.0075,2.0E-4,8.0E-4,0.0428
./instances/synthetic/synth-n_160-m_2910-k_15-p_0.2.txt,15,0.0206,1.0E-4,0.0013,0.0743
./instances/synthetic/synth-n_225-m_2816-k_15-p_0.1.txt,15,0.017,3.0E-4,0.0014,0.0725
./instances/synthetic/synth-n_90-m_248-k_10-p_0.05.txt,7,8.0E-4,1.0E-4,0.0,0.0065
./instances/synthetic/synth-n_70-m_159-k_15-p_0.05.txt,4,0.0,1.0E-4,0.0,9.0E-4
./instances/synthetic/synth-n_100-m_319-k_15-p_0.05.txt,9,9.0E-4,1.0E-4,1.0E-4,0.0102
./instances/synthetic/synth-n_250-m_7252-k_30-p_0.2.txt,30,0.1436,1.0E-4,0.0048,0.2818
./instances/synthetic/synth-n_100-m_565-k_6-p_0.1.txt,6,0.0,2.0E-4,0.0,0.0112
./instances/synthetic/synth-n_60-m_437-k_10-p_0.2.txt,10,0.002,0.0,3.0E-4,0.016
./instances/synthetic/synth-n_50-m_357-k_20-p_0.2.txt,20,0.0057,0.0,3.0E-4,0.2813
./instances/synthetic/synth-n_30-m_111-k_8-p_0.2.txt,7,0.0,1.0E-4,0.0,0.0107
./instances/synthetic/synth-n_225-m_2732-k_4-p_0.1.txt,4,0.0,0.0016,0.0,0.0064
./instances/synthetic/synth-n_200-m_4629-k_25-p_0.2.txt,25,0.0937,2.0E-4,0.0048,0.1873
./instances/synthetic/synth-n_120-m_395-k_8-p_0.05.txt,7,0.0,1.0E-4,0.0,0.0013
./instances/synthetic/synth-n_300-m_9325-k_8-p_0.2.txt,8,0.0732,2.0E-4,0.0068,0.2621
./instances/synthetic/synth-n_300-m_9125-k_6-p_0.2.txt,6,0.0664,5.0E-4,0.0046,0.3291
./instances/synthetic/synth-n_275-m_3928-k_8-p_0.1.txt,8,0.0,0.0018,0.0,0.0044
./instances/synthetic/synth-n_250-m_3612-k_25-p_0.1.txt,25,0.081,0.0011,0.0038,0.1632
./instances/synthetic/synth-n_30-m_55-k_4-p_0.1.txt,2,0.0,0.0,0.0,5.0E-4
./instances/synthetic/synth-n_100-m_596-k_15-p_0.1.txt,15,0.0031,2.0E-4,7.0E-4,0.0443
./instances/synthetic/synth-n_40-m_176-k_2-p_0.2.txt,2,0.0,1.0E-4,0.0,0.001
./instances/synthetic/synth-n_180-m_1658-k_2-p_0.1.txt,2,0.0,3.0E-4,0.0,0.0017
./instances/synthetic/synth-n_80-m_226-k_25-p_0.05.txt,7,9.0E-4,1.0E-4,1.0E-4,0.012
./instances/synthetic/synth-n_30-m_58-k_6-p_0.1.txt,2,0.0,0.0,0.0,4.0E-4
./instances/synthetic/synth-n_180-m_2037-k_30-p_0.1.txt,30,0.0199,1.0E-4,0.0011,0.1707
./instances/synthetic/synth-n_160-m_1346-k_6-p_0.1.txt,6,0.0,4.0E-4,0.0,0.002
./instances/synthetic/synth-n_100-m_305-k_20-p_0.05.txt,10,0.0021,1.0E-4,3.0E-4,0.0534
./instances/synthetic/synth-n_140-m_542-k_15-p_0.05.txt,13,0.0018,3.0E-4,2.0E-4,0.0285
./instances/synthetic/synth-n_120-m_788-k_6-p_0.1.txt,6,0.0,2.0E-4,0.0,0.0013
./instances/synthetic/synth-n_90-m_863-k_2-p_0.2.txt,2,0.0,2.0E-4,0.0,0.0012
./instances/synthetic/synth-n_140-m_2205-k_15-p_0.2.txt,15,0.0126,0.0,0.0011,0.055
./instances/synthetic/synth-n_275-m_3928-k_10-p_0.1.txt,10,0.0084,9.0E-4,0.0012,0.0508
./instances/synthetic/synth-n_180-m_855-k_15-p_0.05.txt,15,0.0035,3.0E-4,2.0E-4,0.0247
./instances/synthetic/synth-n_275-m_2019-k_8-p_0.05.txt,8,0.0027,8.0E-4,4.0E-4,0.0182
./instances/synthetic/synth-n_100-m_344-k_25-p_0.05.txt,12,0.0017,1.0E-4,2.0E-4,0.0289
./instances/synthetic/synth-n_250-m_6262-k_2-p_0.2.txt,2,0.0,0.0014,0.0,0.0049
./instances/synthetic/synth-n_50-m_66-k_2-p_0.05.txt,1,0.0,0.0,0.0,6.0E-4
./instances/synthetic/synth-n_140-m_2379-k_25-p_0.2.txt,25,0.021,0.0,0.001,0.0593
./instances/synthetic/synth-n_60-m_110-k_2-p_0.05.txt,1,0.0,0.0,0.0,9.0E-4
./instances/synthetic/synth-n_160-m_2705-k_6-p_0.2.txt,6,0.0112,1.0E-4,0.0012,0.0635
./instances/synthetic/synth-n_180-m_3690-k_20-p_0.2.txt,20,0.0356,1.0E-4,0.0023,0.1097
./instances/synthetic/synth-n_90-m_1054-k_25-p_0.2.txt,25,0.007,1.0E-4,7.0E-4,0.1437
./instances/synthetic/synth-n_140-m_632-k_30-p_0.05.txt,26,0.0038,1.0E-4,4.0E-4,3.7772
./instances/synthetic/synth-n_90-m_527-k_20-p_0.1.txt,19,0.0065,2.0E-4,0.0011,0.188
./instances/synthetic/synth-n_300-m_4893-k_15-p_0.1.txt,15,0.0361,2.0E-4,0.002,0.1219
./instances/synthetic/synth-n_50-m_169-k_6-p_0.1.txt,6,0.0,1.0E-4,0.0,0.0011
./instances/synthetic/synth-n_120-m_482-k_25-p_0.05.txt,17,0.0016,1.0E-4,2.0E-4,0.1894
./instances/synthetic/synth-n_70-m_308-k_10-p_0.1.txt,9,0.0015,1.0E-4,1.0E-4,0.0181
./instances/synthetic/synth-n_10-m_12-k_4-p_0.2.txt,1,0.0,0.0,0.0,4.0E-4
./instances/synthetic/synth-n_275-m_1895-k_2-p_0.05.txt,2,0.0,5.0E-4,0.0,0.0018
./instances/synthetic/synth-n_120-m_372-k_4-p_0.05.txt,4,0.0,1.0E-4,0.0,9.0E-4
./instances/synthetic/synth-n_50-m_139-k_2-p_0.1.txt,2,0.0,0.0,0.0,8.0E-4
./instances/synthetic/synth-n_275-m_8401-k_20-p_0.2.txt,20,0.1248,1.0E-4,0.0032,0.2791
./instances/synthetic/synth-n_60-m_226-k_15-p_0.1.txt,10,0.0011,1.0E-4,2.0E-4,0.032
./instances/synthetic/synth-n_70-m_702-k_30-p_0.2.txt,28,0.0033,0.0,3.0E-4,2.6327
./instances/synthetic/synth-n_90-m_327-k_30-p_0.05.txt,14,0.0014,1.0E-4,2.0E-4,0.1265
./instances/synthetic/synth-n_60-m_222-k_6-p_0.1.txt,5,0.0,1.0E-4,0.0,0.0013
./instances/synthetic/synth-n_140-m_1047-k_4-p_0.1.txt,4,0.0,3.0E-4,0.0,0.0014
./instances/synthetic/synth-n_225-m_2523-k_2-p_0.1.txt,2,0.0,4.0E-4,0.0,0.0021
./instances/synthetic/synth-n_30-m_28-k_4-p_0.05.txt,2,0.0,0.0,0.0,3.0E-4
./instances/synthetic/synth-n_60-m_211-k_10-p_0.1.txt,7,0.001,0.0,1.0E-4,0.0167
./instances/synthetic/synth-n_100-m_262-k_6-p_0.05.txt,5,0.0,1.0E-4,0.0,0.001
./instances/synthetic/synth-n_50-m_192-k_20-p_0.1.txt,11,0.001,0.0,2.0E-4,0.0181
./instances/synthetic/synth-n_160-m_2577-k_2-p_0.2.txt,2,0.0,4.0E-4,0.0,0.0021
./instances/synthetic/synth-n_140-m_632-k_20-p_0.05.txt,16,0.0019,1.0E-4,2.0E-4,0.0967
./instances/synthetic/synth-n_70-m_347-k_25-p_0.1.txt,18,0.0022,0.0,3.0E-4,0.5643
./instances/synthetic/synth-n_225-m_2884-k_20-p_0.1.txt,20,0.0746,5.0E-4,0.0055,0.1446
./instances/synthetic/synth-n_50-m_90-k_20-p_0.05.txt,2,0.0,0.0,0.0,0.0013
./instances/synthetic/synth-n_160-m_663-k_4-p_0.05.txt,4,0.0,2.0E-4,0.0,0.0011
./instances/synthetic/synth-n_300-m_5040-k_25-p_0.1.txt,25,0.057,1.0E-4,0.0025,0.1379
./instances/synthetic/synth-n_40-m_114-k_15-p_0.1.txt,6,0.0,0.0,1.0E-4,0.0014
./instances/synthetic/synth-n_100-m_491-k_2-p_0.1.txt,2,0.0,1.0E-4,0.0,0.0014
./instances/synthetic/synth-n_100-m_346-k_30-p_0.05.txt,17,0.0014,1.0E-4,2.0E-4,0.7918
./instances/synthetic/synth-n_140-m_2149-k_8-p_0.2.txt,8,0.0081,1.0E-4,7.0E-4,0.0458
./instances/synthetic/synth-n_100-m_568-k_10-p_0.1.txt,10,0.0023,1.0E-4,2.0E-4,0.0206
