index;k;lb;cleaning;class
advotogo-n_100;3;3;3;c
advotogo-n_1000;112;112;112;c
advotogo-n_200;5;5;5;c
advotogo-n_300;15;15;15;c
advotogo-n_400;22;22;22;c
advotogo-n_500;36;36;36;c
advotogo-n_700;64;64;64;c
advotogo-n_800;79;79;79;c
baydry;7;7;7;c
baywet;7;7;7;c
biology-n_12-m_33-p_0.5-15;3;3;0;c
biology-n_12-m_33-p_0.75-15;3;3;3;c
biology-n_12-m_33-p_0.9-15;3;3;3;c
biology-n_12-m_43-p_0.5-25;4;3;0;c
biology-n_12-m_43-p_0.75-25;3;3;3;c
biology-n_12-m_43-p_0.9-25;1;1;1;c
biology-n_12-m_45-p_0.5-19;3;2;0;c
biology-n_12-m_45-p_0.75-19;3;3;0;c
biology-n_12-m_45-p_0.9-19;1;1;1;c
biology-n_13-m_39-p_0.5-4;2;2;0;c
biology-n_13-m_39-p_0.75-4;3;3;3;c
biology-n_13-m_39-p_0.9-4;4;4;4;c
biology-n_13-m_51-p_0.5-22;4;3;0;c
biology-n_13-m_51-p_0.75-22;3;3;0;c
biology-n_13-m_51-p_0.9-22;3;3;3;c
biology-n_16-m_79-p_0.5-3;6;4;0;c
biology-n_16-m_79-p_0.75-3;6;4;0;c
biology-n_16-m_79-p_0.9-3;4;3;0;c
biology-n_17-m_89-p_0.5-10;6;4;0;c
biology-n_17-m_89-p_0.75-10;6;3;0;c
biology-n_17-m_89-p_0.9-10;4;2;0;c
biology-n_19-m_99-p_0.5-20;7;5;0;c
biology-n_19-m_99-p_0.75-20;6;3;0;c
biology-n_19-m_99-p_0.9-20;3;3;3;c
biology-n_20-m_125-p_0.5-24;8;5;0;c
biology-n_20-m_125-p_0.5-7;9;6;0;c
biology-n_20-m_125-p_0.75-24;9;4;0;c
biology-n_20-m_125-p_0.75-7;5;4;0;c
biology-n_20-m_125-p_0.9-24;3;3;0;c
biology-n_20-m_125-p_0.9-7;4;4;1;c
biology-n_22-m_76-p_0.5-9;4;2;0;c
biology-n_22-m_76-p_0.75-9;4;3;0;c
biology-n_22-m_76-p_0.9-9;3;3;0;c
biology-n_23-m_166-p_0.5-17;12;7;0;c
biology-n_23-m_166-p_0.75-17;10;4;0;c
biology-n_23-m_166-p_0.9-17;6;3;1;c
biology-n_25-m_231-p_0.5-6;13;7;0;c
biology-n_25-m_231-p_0.75-6;13;7;0;c
biology-n_25-m_231-p_0.9-6;8;6;0;c
biology-n_28-m_163-p_0.5-11;10;7;1;c
biology-n_28-m_163-p_0.75-11;8;6;1;c
biology-n_28-m_163-p_0.9-11;5;4;1;c
biology-n_28-m_249-p_0.5-8;15;6;0;c
biology-n_28-m_249-p_0.75-8;13;8;0;c
biology-n_28-m_249-p_0.9-8;6;3;1;c
biology-n_29-m_153-p_0.5-21;11;8;1;c
