index;k;lb;cleaning;class
advotogo-n_100;2;2;2;c
advotogo-n_1000;127;127;124;c
advotogo-n_1500;215;214;207;c
advotogo-n_200;9;9;9;c
advotogo-n_2000;297;296;292;c
advotogo-n_3000;548;543;521;c
advotogo-n_4000;863;841;723;c
advotogo-n_50;0;0;0;c
advotogo-n_500;39;39;39;c
advotogo-n_5000;1160;1124;936;c
advotogo-n_5159;1208;1175;966;c
bitcoinalpha-n_100;2;2;2;c
bitcoinalpha-n_1000;136;136;136;c
bitcoinalpha-n_1500;261;261;261;c
bitcoinalpha-n_200;11;11;11;c
bitcoinalpha-n_2000;393;393;391;c
bitcoinalpha-n_3000;658;656;650;c
bitcoinalpha-n_3785;921;921;909;c
bitcoinalpha-n_50;2;2;2;c
bitcoinalpha-n_500;54;53;51;c
blogs-n_100;8;8;8;c
blogs-n_1000;196;172;76;c
blogs-n_1227;262;221;98;c
blogs-n_200;16;16;16;c
blogs-n_50;6;6;6;c
blogs-n_500;76;71;54;c
chess-n_100;0;0;0;c
chess-n_1000;62;54;27;c
chess-n_1500;127;110;60;c
chess-n_200;2;2;2;c
chess-n_2000;204;153;66;c
chess-n_50;0;0;0;c
chess-n_500;17;17;17;c
ChicagoRegional-n_100;1;1;1;c
ChicagoRegional-n_1000;92;92;92;c
ChicagoRegional-n_10000;4193;4134;3756;c
ChicagoRegional-n_1500;181;181;181;c
ChicagoRegional-n_200;5;5;5;c
ChicagoRegional-n_2000;307;307;305;c
ChicagoRegional-n_3000;631;631;627;c
ChicagoRegional-n_4000;1020;1020;1016;c
ChicagoRegional-n_50;2;2;2;c
ChicagoRegional-n_500;24;24;24;c
ChicagoRegional-n_5000;1484;1483;1459;c
ChicagoRegional-n_6000;1987;1981;1917;c
ChicagoRegional-n_7000;2495;2487;2418;c
ChicagoRegional-n_8000;3028;3005;2850;c
ChicagoRegional-n_9000;3651;3619;3387;c
health-n_100;4;4;4;c
health-n_1000;231;231;231;c
health-n_1500;446;446;441;c
health-n_200;17;17;17;c
health-n_2000;674;639;446;c
health-n_2542;960;858;379;c
health-n_50;2;2;2;c
health-n_500;67;67;67;c
link-kv-n_100;8;8;8;c
link-kv-n_1000;234;234;234;c
link-kv-n_1500;391;391;391;c
link-kv-n_200;20;20;20;c
link-kv-n_2000;565;563;560;c
link-kv-n_3000;900;825;703;c
link-kv-n_50;0;0;0;c
link-kv-n_500;83;83;83;c
openflights-n_100;10;10;10;c
openflights-n_1000;201;201;195;c
openflights-n_1500;413;413;411;c
openflights-n_200;26;26;24;c
openflights-n_2000;593;592;582;c
openflights-n_2942;998;995;975;c
openflights-n_50;2;2;2;c
openflights-n_500;80;80;80;c
out.cfinder-google-n_100;6;6;6;c
out.cfinder-google-n_1000;100;100;100;c
out.cfinder-google-n_10000;3133;3114;3039;c
out.cfinder-google-n_1500;188;188;188;c
out.cfinder-google-n_200;13;13;13;c
out.cfinder-google-n_2000;307;307;307;c
out.cfinder-google-n_3000;574;574;574;c
out.cfinder-google-n_4000;852;852;852;c
out.cfinder-google-n_50;7;7;7;c
out.cfinder-google-n_500;37;37;37;c
out.cfinder-google-n_5000;1200;1200;1200;c
out.cfinder-google-n_6000;1581;1571;1552;c
out.cfinder-google-n_7000;1928;1928;1928;c
out.cfinder-google-n_8000;2338;2275;2118;c
out.cfinder-google-n_9000;2698;2648;2532;c
talk-oc-n_100;0;0;0;c
talk-oc-n_1000;7;7;7;c
talk-oc-n_1500;15;15;15;c
talk-oc-n_200;0;0;0;c
talk-oc-n_2000;15;15;15;c
talk-oc-n_3000;29;29;29;c
talk-oc-n_3066;30;30;30;c
talk-oc-n_50;0;0;0;c
talk-oc-n_500;3;3;3;c
temporalGraph-n_100;0;0;0;c
temporalGraph-n_1000;40;40;40;c
temporalGraph-n_1500;77;77;77;c
temporalGraph-n_1868;106;104;98;c
temporalGraph-n_200;5;5;5;c
temporalGraph-n_50;3;3;3;c
temporalGraph-n_500;17;17;11;c
ucsocial-n_100;5;5;5;c
ucsocial-n_1000;258;253;222;c
ucsocial-n_1500;435;426;367;c
ucsocial-n_1902;585;563;427;c
ucsocial-n_200;23;23;23;c
ucsocial-n_50;3;3;3;c
ucsocial-n_500;80;80;80;c
usairport-n_100;13;13;13;c
usairport-n_1000;253;233;179;c
usairport-n_1500;428;386;290;c
usairport-n_1577;455;412;309;c
usairport-n_200;29;27;19;c
usairport-n_50;5;5;5;c
usairport-n_500;112;105;80;c
