name,recursions,rootTime,cleaningTime,packingTime,flowerTime,digraphTime,busyCycleBranchingTime,cycleSearchTime,totalTime,firstLowerbound,firstDigraphNodes,firstCleans
./instances/complex/temporalGraph-n_800,0,183519700,0,0,0,0,0,0,183528000,0,9,24
./instances/complex/bitcoinalpha-n_700,0,26195900,0,0,0,0,0,0,26196100,0,54,32
./instances/complex/biology-n_35-m_315-p_0.75-18,23022,52921700,2916856100,1750497200,151547700,114840600,1125920400,100,6754662300,9,0,0
./instances/complex/biology-n_12-m_33-p_0.5-15,1,636200,43700,21100,0,44100,0,100,762700,3,0,0
./instances/complex/moreno_bison-n_26-m_314,98,2292900,8933200,3828200,829100,2047600,9694800,600,30485000,10,0,1
./instances/complex/biology-n_42-m_297-p_0.75-23,1870964,4791300,47182902600,79124397000,2490727700,597464800,33622149900,1300,-1,6,0,0
./instances/complex/biology-n_12-m_43-p_0.5-25,8,257600,105100,63800,0,31700,104700,200,637300,3,0,0
./instances/complex/chess-n_1000,110,74001200,31759900,27366200,7289900,1485500,13672000,200,162972000,22,17,17
./instances/complex/biology-n_13-m_51-p_0.9-22,0,657200,0,0,0,0,0,0,657100,0,0,3
./instances/complex/biology-n_19-m_99-p_0.75-20,12,2272800,750100,353800,0,164400,214500,300,4036000,3,0,0
./instances/complex/biology-n_12-m_45-p_0.75-19,2,741400,234600,149800,0,66700,53700,200,1304000,3,0,0
./instances/complex/health-n_100,0,460200,0,0,0,0,0,0,458200,0,2,0
./instances/complex/biology-n_28-m_163-p_0.9-11,4,1293000,549300,177800,0,200300,115600,100,2428200,3,0,1
./instances/complex/ChicagoRegional-n_500,0,1187200,0,0,0,0,0,0,1187200,0,21,0
./instances/complex/convote,0,10864500,0,0,0,0,0,0,10864400,0,16,13
./instances/complex/biology-n_20-m_125-p_0.9-24,2,1047400,871500,293000,0,137700,125000,300,2648500,3,0,0
./instances/complex/GD-n_105-m_149.mtx,0,2693400,0,0,0,0,0,0,2693200,0,16,4
./instances/complex/ucsocial-n_1000,0,316858700,0,0,0,0,0,0,316858900,0,43,210
./instances/complex/biology-n_20-m_125-p_0.5-7,87,1493600,2473900,2926900,0,143300,1901100,400,10325600,6,0,0
./instances/complex/GD-n_62-m_287.mtx,1355,3612100,35363400,114264500,12584000,5269700,55900,100,219763300,20,0,10
./instances/complex/biology-n_59-m_624-p_0.75-1,594395,17028500,92579223500,46227037900,2483397600,398773300,25794792900,14400,-1,12,0,1
./instances/complex/ChicagoRegional-n_1000,0,12765400,0,0,0,0,0,0,12765500,0,87,3
./instances/complex/biology-n_42-m_297-p_0.5-23,2110974,3420400,22945711500,104382522600,5298166000,712033800,32317062200,10100,-1,10,0,1
./instances/complex/moreno_cattle-n_28-m_217,2,525200,5200,30900,0,22700,12200,100,643800,2,0,6
./instances/complex/bitcoinalpha-n_500,0,1218300,0,0,0,0,0,0,1218000,0,38,21
./instances/complex/biology-n_35-m_315-p_0.5-18,46241,4471500,3350916900,2070164800,115050300,16127200,1228781300,100,7378703600,8,0,1
./instances/complex/link-kv-n_1000,16,11999800,204400,116200,0,64200,48000,100,12670000,5,215,14
./instances/complex/biology-n_35-m_315-p_0.9-18,491,1570700,22364400,28726900,1507200,372200,14289300,200,75743900,7,0,0
./instances/complex/link-kv-n_200,0,203700,0,0,0,0,0,0,203500,0,18,0
./instances/complex/moreno_hens-n_32-m_496,473,1288600,8919400,10396700,93400,265000,8995000,100,34982500,1,0,0
./instances/complex/biology-n_20-m_125-p_0.75-24,309,574300,4498100,4879300,72500,109300,3827200,100,15656500,4,0,0
./instances/complex/health-n_400,0,2577300,0,0,0,0,0,0,2577300,0,38,4
./instances/complex/openflights-n_200,0,452400,0,0,0,0,0,0,452400,0,12,12
./instances/synthetic/synth-n_140-m_1181-k_20-p_0.1.txt,508,37051200,561793000,259131700,25944200,3909500,103146000,200,1031230200,19,0,0
./instances/complex/Tina_AskCal-n_11-m_29.mtx,0,119000,0,0,0,0,0,0,118900,0,3,0
./instances/synthetic/synth-n_160-m_2611-k_4-p_0.2.txt,0,29301700,0,0,0,0,0,0,29303200,0,0,4
./instances/complex/biology-n_28-m_163-p_0.5-11,80,1531800,3640300,1835100,57800,133400,1494700,200,9364600,6,0,1
./instances/synthetic/synth-n_180-m_3408-k_6-p_0.2.txt,1,67038500,16596900,978400,0,1498700,0,200,86864400,6,0,0
./instances/complex/trust,0,11972600,0,0,0,0,0,0,11972700,0,110,56
./instances/complex/GD-n_80-m_232.mtx,8,1801800,110200,64100,0,31700,59900,200,2137000,2,0,16
./instances/complex/biology-n_20-m_125-p_0.5-24,20,1241600,1556600,737600,81000,123300,504900,100,4444000,5,0,0
./instances/complex/biology-n_19-m_99-p_0.9-20,0,318100,0,0,0,0,0,0,318100,0,0,3
./instances/complex/polbooks-n_105-m_441.mtx,0,774400,0,0,0,0,0,0,774500,0,0,0
./instances/complex/biology-n_29-m_153-p_0.5-21,323,1698100,13679700,18947700,422600,298400,12064200,200,51269600,7,0,1
./instances/complex/temporalGraph-n_700,0,2914900,0,0,0,0,0,0,2914900,0,8,18
./instances/complex/openflights-n_100,0,175000,0,0,0,0,0,0,175400,0,6,2
./instances/synthetic/synth-n_80-m_854-k_25-p_0.2.txt,187451,13342300,84385985900,61863942200,5783963300,518805500,21425232600,48200,-1,18,0,0
./instances/complex/GD-n_38-m_50.mtx,2,168700,4100,12500,0,9100,10800,100,217200,2,0,0
./instances/complex/biology-n_13-m_39-p_0.9-4,0,151900,0,0,0,0,0,0,151800,0,0,4
./instances/complex/bitcoinalpha-n_1000,0,11284700,0,0,0,0,0,0,11284900,0,75,74
./instances/complex/talk-oc-n_300,0,26000,0,0,0,0,0,0,26300,0,0,0
./instances/complex/advotogo-n_500,0,2446100,0,0,0,0,0,0,2446200,0,21,15
./instances/complex/biology-n_12-m_33-p_0.9-15,0,86900,0,0,0,0,0,0,86900,0,0,3
./instances/complex/bitcoinalpha-n_200,0,145800,0,0,0,0,0,0,145300,0,13,0
./instances/complex/ChicagoRegional-n_400,0,124300,0,0,0,0,0,0,124300,0,13,0
./instances/synthetic/synth-n_90-m_410-k_4-p_0.1.txt,0,1023100,0,0,0,0,0,0,1023000,0,0,4
